config_index,config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
1,1_非线性,100,3,0,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.0513421327043177,0.2473303124040185,0.0585362688432416,0.96,0.98,0.9486578672956822
2,2_交互,100,3,0,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0434988450944198,0.274690063274338,0.0735624813371114,0.9,0.96,0.9565011549055802
3,3_稀疏性,100,3,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0463821838774975,0.2537084960732509,0.0622166939985047,0.92,0.98,0.9536178161225024
4,4_偏态,100,3,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0476920350385138,0.3826353021509868,0.1441352442460622,0.86,0.84,0.9523079649614862
5,5_异质性,100,3,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0348644569422957,0.283074759691848,0.0789157892167163,0.86,0.98,0.9651355430577042
0,0_基准,100,3,1,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0772078164180294,0.3148670825649874,0.0931802327669465,0.82,0.92,0.9227921835819706
1,1_非线性,100,3,1,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.0637935690166726,0.3070317323111497,0.0901988651981005,0.9,0.96,0.9362064309833272
2,2_交互,100,3,1,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0478565363709253,0.3361474401499001,0.110704853445909,0.84,0.9,0.9521434636290746
3,3_稀疏性,100,3,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0848303114517654,0.3303244609978489,0.1019180677925158,0.8,0.9,0.9151696885482346
4,4_偏态,100,3,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0754700967432895,0.3290356015387939,0.1025686915775545,0.8,0.9,0.9245299032567104
5,5_异质性,100,3,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0593751198120804,0.3362149982692309,0.10951512020848,0.84,0.92,0.9406248801879196
0,0_基准,100,3,2,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0270668554492198,0.1194705112083741,0.0135405883844812,0.92,1.0,0.9729331445507802
1,1_非线性,100,3,2,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.027014791052799,0.11950235321259,0.0135510134877202,0.92,1.0,0.972985208947201
2,2_交互,100,3,2,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0143293454697139,0.1527333507350078,0.0231221462851525,0.92,1.0,0.985670654530286
3,3_稀疏性,100,3,2,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0190749522692097,0.1102428355329951,0.0117896289822823,0.94,1.0,0.9809250477307904
4,4_偏态,100,3,2,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0214184936931225,0.1072395000468005,0.0110415584982054,0.96,1.0,0.9785815063068776
5,5_异质性,100,3,2,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0135446357081688,0.1180054885292842,0.013741838166568,0.96,1.0,0.9864553642918312
0,0_基准,100,3,3,50,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0105394168766781,0.1076980792148733,0.0114877969584727,0.94,1.0,1.010539416876678
1,1_非线性,100,3,3,50,1.0,0.0,0,0.3,0.0,1.0,1.0,0.0053974288646128,0.115306738254753,0.0132665116486015,0.92,1.0,1.0053974288646128
2,2_交互,100,3,3,50,0.0,0.5,0,0.3,0.0,1.0,1.0,0.0035667507028183,0.1154248901477356,0.0133101835550407,0.92,1.0,1.0035667507028183
3,3_稀疏性,100,3,3,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0013846472088934,0.1167591988523758,0.0136307932687555,0.92,1.0,1.0013846472088934
4,4_偏态,100,3,3,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0002934847827815,0.1153345594956629,0.0133019744807409,0.92,1.0,0.9997065152172184
5,5_异质性,100,3,3,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0027531267353775,0.1199696118592232,0.0143851280628316,0.92,1.0,0.9972468732646224
0,0_基准,100,40,0,50,0.0,0.0,0,0.3,0.0,1.0,1.0,0.2300966097474042,0.7377480668223535,0.4913277602828704,0.94,0.4,1.2300966097474042
1,1_非线性,100,40,0,50,1.0,0.0,0,0.3,0.0,1.0,1.0,0.1984771474714788,0.7274034382723024,0.489722583941952,0.94,0.32,1.1984771474714788
2,2_交互,100,40,0,50,0.0,0.5,0,0.3,0.0,1.0,1.0,0.2193597483261147,0.7234034975892881,0.4751939211387188,0.94,0.44,1.2193597483261147
3,3_稀疏性,100,40,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0605114253957412,0.3023648406789682,0.0877628642753935,0.96,0.94,1.0605114253957413
4,4_偏态,100,40,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.1999115046478818,0.8712723487905143,0.7191508960763595,0.84,0.34,1.199911504647882
5,5_异质性,100,40,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.2303116224794079,0.7349563618507838,0.487117410375843,0.94,0.42,1.230311622479408
0,0_基准,100,40,1,50,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0347236838223268,0.2621317950732267,0.0675073437701191,0.94,0.98,1.0347236838223268
1,1_非线性,100,40,1,50,1.0,0.0,0,0.3,0.0,1.0,1.0,0.0218050441862938,0.3470790974908661,0.1199884399631079,0.96,0.84,1.0218050441862938
2,2_交互,100,40,1,50,0.0,0.5,0,0.3,0.0,1.0,1.0,0.0913739433527667,0.2777858931029162,0.0688158048831501,0.94,1.0,1.0913739433527667
3,3_稀疏性,100,40,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0360138830637191,0.2667401524784473,0.0698533091708981,0.94,0.98,1.036013883063719
4,4_偏态,100,40,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.0241200012098077,0.2739212960477348,0.0744511019701096,0.92,0.98,1.0241200012098075
5,5_异质性,100,40,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.0404545863301208,0.2577314949723041,0.0647889499455176,0.94,1.0,1.040454586330121
0,0_基准,100,40,2,50,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0324826211300102,0.1088209958245985,0.0107868884567815,0.9,1.0,1.0324826211300102
1,1_非线性,100,40,2,50,1.0,0.0,0,0.3,0.0,1.0,1.0,0.0307634308304098,0.1097115449351318,0.011090234415596,0.9,1.0,1.03076343083041
2,2_交互,100,40,2,50,0.0,0.5,0,0.3,0.0,1.0,1.0,0.0170567612314989,0.1461042752227074,0.0210555261346442,0.94,1.0,1.017056761231499
3,3_稀疏性,100,40,2,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0220648377233276,0.1141861390512771,0.0125516172876808,0.9,1.0,1.0220648377233277
4,4_偏态,100,40,2,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.0181719858387523,0.1142224399427315,0.012716544717147,0.9,1.0,1.0181719858387523
5,5_异质性,100,40,2,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.019438211792963,0.1289076973234343,0.016239350351522,0.9,1.0,1.019438211792963
0,0_基准,100,40,3,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0097548243275724,0.1074529870481676,0.0114509878279118,0.88,1.0,0.9902451756724276
1,1_非线性,100,40,3,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.0047343445843801,0.1087394949690745,0.0118018637474857,0.88,1.0,0.9952656554156198
2,2_交互,100,40,3,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0036892685155488,0.1081648187578088,0.0116860173147298,0.88,1.0,0.9963107314844512
3,3_稀疏性,100,40,3,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.0026708273513921,0.1084829487892364,0.0117614168592671,0.88,1.0,0.997329172648608
4,4_偏态,100,40,3,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.0047932643300014,0.1108634996841652,0.0122677401792836,0.86,1.0,0.9952067356699984
5,5_异质性,100,40,3,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.003172775064364,0.1096270742197698,0.0120080289003778,0.86,1.0,0.996827224935636
0,0_基准,100,5,0,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0182974883843164,0.1792712941026641,0.0318033988080697,0.98,0.98,0.9817025116156836
1,1_非线性,100,5,0,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.0287012400866442,0.2672789840926868,0.0706142941551075,0.98,0.94,0.9712987599133558
2,2_交互,100,5,0,50,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0045020638357319,0.196008796039428,0.0383991795460451,0.96,1.0,0.995497936164268
3,3_稀疏性,100,5,0,50,0.0,0.0,5,0.3,0.0,1.0,1.0,-0.023862078859465,0.1811026346678743,0.0322287654761502,0.98,0.98,0.976137921140535
4,4_偏态,100,5,0,50,0.0,0.0,0,2.0,0.0,1.0,1.0,-0.1677098830279919,0.4510536458354095,0.1753227865561522,0.8,0.68,0.832290116972008
5,5_异质性,100,5,0,50,0.0,0.0,0,0.3,0.3,1.0,1.0,-0.0226277665049411,0.1986273043686347,0.0389407902237481,0.96,1.0,0.9773722334950588
0,0_基准,100,5,1,50,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0108896111520609,0.2936903023892656,0.0861354100864551,0.96,0.94,0.989110388847939
1,1_非线性,100,5,1,50,1.0,0.0,0,0.3,0.0,1.0,1.0,-0.021642731316447,0.322599768944535,0.1036022031042315,0.92,0.9,0.978357268683553
2,2_交互,100,5,1,50,0.0,0.5,0,0.3,0.0,1.0,1.0,0.0302704819733639,0.2692376301763841,0.0715725994240956,0.98,0.96,1.030270481973364
3,3_稀疏性,100,5,1,50,0.0,0.0,5,0.3,0.0,1.0,1.0,0.0026448634318241,0.2636788678662663,0.0695195500566629,0.96,0.96,1.002644863431824
4,4_偏态,100,5,1,50,0.0,0.0,0,2.0,0.0,1.0,1.0,0.009474399802446,0.2600920300779805,0.0675580998584685,0.96,0.96,1.009474399802446
5,5_异质性,100,5,1,50,0.0,0.0,0,0.3,0.3,1.0,1.0,0.0332060267835385,0.2563174645682115,0.0645960024279272,0.98,0.96,1.0332060267835386
