config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,true_theta,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
ind_skew_Dpos,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0114943536373134,0.1221814774809145,0.0147961932738796,0.85,0.15,0.9885056463626866,0.7,0.2,0.0,4.0,1.0,0.25
ind_skew_Dneg,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0089836460936015,0.1231828099901265,0.0150932987799285,0.84,0.16,0.9910163539063984,0.7,0.2,0.0,-4.0,1.0,0.25
ind_skew_Y,100,100,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,-0.0091635397983647,0.1230415392601884,0.0150552499218802,0.84,0.16,0.9908364602016354,0.7,1.0,1.0,0.25,4.0,0.0
0_base,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0026959854863239,0.1182073887631118,0.0139657184204509,0.9,0.1,0.997304014513676,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,20,2,100,0.0,0.25,0,0.3,0.0,1.0,1.002361294385835,1.0,0.004051165449478,0.1235468427694033,0.0162005765523829,0.88,0.12,1.0064124598353132,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,20,2,100,0.0,0.5,0,0.3,0.0,1.0,1.004235145833031,1.0,-0.0020155345295919,0.1479107066671073,0.0258252942904334,0.91,0.09,1.002219611303439,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,20,2,100,0.0,1.0,0,0.3,0.0,1.0,1.0082035860069365,1.0,-0.0172771151445164,0.2190185837359337,0.0635575699787173,0.98,0.02,0.99092647086242,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,20,2,100,0.0,0.0,0,0.3,0.15,1.0,1.0012144983958189,1.0,0.0014643129812376,0.1176371110736531,0.0141857875743222,0.88,0.12,1.0026788113770566,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,20,2,100,0.0,0.0,0,0.3,0.3,1.0,1.0019057734876045,1.0,0.0010588156217843,0.1279966817320801,0.0177411697539677,0.89,0.11,1.0029645891093892,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,20,2,100,0.0,0.0,0,0.3,0.5,1.0,1.0032922548609846,1.0,-0.0059314739722475,0.1485893103813998,0.0258938271764209,0.92,0.08,0.9973607808887373,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,6.222839745778085e-05,0.0590241756371008,0.0034838494372658,0.91,0.09,1.0000622283974578,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0018434760426833,0.1137795159292762,0.0129423798411804,0.92,0.08,1.001843476042683,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,2.0,0.0157251604481305,0.2233875346414712,0.049654709962075,0.91,0.09,1.0157251604481308,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.012175366701193,0.2168345753998307,0.0468689935345163,0.93,0.07,1.012175366701193,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0017932667490839,0.1150427396132358,0.0132316161320854,0.92,0.08,1.001793266749084,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0062570777487463,0.0605627282579116,0.0036286930320877,0.93,0.07,0.9937429222512536,0.7,2.0,1.0,0.25,1.0,0.25
ind_nl_mD,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0011175843722331,0.1189559973997701,0.014149280322545,0.87,0.13,0.9988824156277668,0.7,1.0,0.0,2.0,1.0,0.25
ind_nl_mY,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0060420993607247,0.1151455351462106,0.0132219872994223,0.91,0.09,1.0060420993607249,0.7,1.0,1.0,0.25,2.0,0.0
ind_nl_both,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.0112079773283322,0.1258795984241869,0.0157200545436421,0.86,0.14,0.988792022671668,0.7,1.0,0.0,2.0,2.0,0.0
ind_skew_Dpos,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,0.0149978448107998,0.5124304578663801,0.262360038800179,0.89,0.11,1.0149978448108,0.7,0.2,0.0,4.0,1.0,0.25
ind_skew_Dneg,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.1246483024013682,0.4691449063267148,0.2045597438407591,0.91,0.09,0.8753516975986319,0.7,0.2,0.0,-4.0,1.0,0.25
ind_skew_Y,100,20,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,0.0049754392148781,0.0648492214231981,0.004180666523814,0.88,0.12,1.0049754392148782,0.7,1.0,1.0,0.25,4.0,0.0
0_base,100,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,1.0,-0.032118105860998,0.1055541932075351,0.0101101149795953,0.91,0.09,0.967881894139002,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,20,3,100,0.0,0.25,0,0.3,0.0,1.0,1.001189836168527,1.0,-0.0358976006172369,0.1190230447342193,0.0132898648035632,0.94,0.06,0.96529223555129,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,20,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0018342256308812,1.0,-0.0440777539806521,0.1522136092620796,0.0239357776213913,0.93,0.07,0.957756471650229,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,20,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0016528080872342,1.0,-0.0633192834639049,0.2334575827529929,0.062490375023637,0.97,0.03,0.9383335246233294,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,20,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0006539708406796,1.0,-0.0339157545174776,0.1105782577889991,0.0111534852383263,0.91,0.09,0.966738216323202,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,20,3,100,0.0,0.0,0,0.3,0.3,1.0,1.000754321735452,1.0,-0.0390820223300357,0.1252443845306465,0.0150081981922822,0.92,0.08,0.9616722994054164,0.7,1.0,1.0,0.25,1.0,0.25
