config_name,n_samples,d_dim,dgp_num,reject_rate_shapiro,reject_rate_ad,reject_rate_both
hete_0.5,50,20,2,0.0,0.0,0.0
noise_0.5,50,20,2,0.0,0.0,0.0
noise_1.0,50,20,2,0.0,0.0,0.0
noise_2.0,50,20,2,0.0,0.0,0.0
rho_0.3,50,20,2,0.0,0.0,0.0
rho_0.5,50,20,2,0.0,0.0,0.0
rho_0.7,50,20,2,0.0,0.0,0.0
s1_0.5,50,20,2,0.0,0.0,0.0
s1_1.0,50,20,2,0.0,0.0,0.0
s1_2.0,50,20,2,0.0,0.0,0.0
0_基准,50,20,3,0.0,0.0,0.0
inter_0.25,50,20,3,0.0,0.0,0.0
inter_0.5,50,20,3,0.0,0.0,0.0
inter_1.0,50,20,3,0.0,0.0,0.0
hete_0.15,50,20,3,0.0,0.0,0.0
hete_0.3,50,20,3,0.0,0.0,0.0
hete_0.5,50,20,3,0.0,0.0,0.0
noise_0.5,50,20,3,0.0,0.0,0.0
noise_1.0,50,20,3,0.0,0.0,0.0
noise_2.0,50,20,3,0.0,0.0,0.0
rho_0.3,50,20,3,0.0,0.0,0.0
rho_0.5,50,20,3,0.0,0.0,0.0
rho_0.7,50,20,3,0.0,0.0,0.0
s1_0.5,50,20,3,0.0,0.0,0.0
s1_1.0,50,20,3,0.0,0.0,0.0
s1_2.0,50,20,3,0.0,0.0,0.0
0_基准,50,30,2,0.0,0.0,0.0
inter_0.25,50,30,2,0.0,0.0,0.0
inter_0.5,50,30,2,0.0,0.0,0.0
inter_1.0,50,30,2,0.0,0.0,0.0
hete_0.15,50,30,2,0.0,0.0,0.0
hete_0.3,50,30,2,0.0,0.0,0.0
hete_0.5,50,30,2,0.0,0.0,0.0
noise_0.5,50,30,2,0.0,1.0,0.0
noise_1.0,50,30,2,0.0,0.0,0.0
noise_2.0,50,30,2,0.0,0.0,0.0
rho_0.3,50,30,2,0.0,0.0,0.0
rho_0.5,50,30,2,0.0,0.0,0.0
rho_0.7,50,30,2,0.0,0.0,0.0
s1_0.5,50,30,2,0.0,0.0,0.0
s1_1.0,50,30,2,0.0,0.0,0.0
s1_2.0,50,30,2,0.0,0.0,0.0
0_基准,50,30,3,0.0,0.0,0.0
inter_0.25,50,30,3,0.0,0.0,0.0
inter_0.5,50,30,3,0.0,0.0,0.0
inter_1.0,50,30,3,0.0,0.0,0.0
hete_0.15,50,30,3,0.0,0.0,0.0
hete_0.3,50,30,3,0.0,0.0,0.0
hete_0.5,50,30,3,0.0,0.0,0.0
noise_0.5,50,30,3,0.0,0.0,0.0
noise_1.0,50,30,3,0.0,0.0,0.0
noise_2.0,50,30,3,0.0,0.0,0.0
rho_0.3,50,30,3,0.0,0.0,0.0
rho_0.5,50,30,3,0.0,0.0,0.0
rho_0.7,50,30,3,0.0,0.0,0.0
s1_0.5,50,30,3,0.0,0.0,0.0
s1_1.0,50,30,3,0.0,0.0,0.0
s1_2.0,50,30,3,0.0,0.0,0.0
0_基准,800,10,2,0.0,0.0,0.0
inter_0.25,800,10,2,0.0,0.0,0.0
inter_0.5,800,10,2,0.0,0.0,0.0
inter_1.0,800,10,2,0.0,0.0,0.0
hete_0.15,800,10,2,0.0,0.0,0.0
hete_0.3,800,10,2,0.0,0.0,0.0
hete_0.5,800,10,2,0.0,0.0,0.0
noise_0.5,800,10,2,0.0,0.0,0.0
noise_1.0,800,10,2,0.0,0.0,0.0
noise_2.0,800,10,2,0.0,0.0,0.0
rho_0.3,800,10,2,0.0,0.0,0.0
rho_0.5,800,10,2,0.0,0.0,0.0
rho_0.7,800,10,2,0.0,0.0,0.0
s1_0.5,800,10,2,0.0,0.0,0.0
s1_1.0,800,10,2,0.0,0.0,0.0
s1_2.0,800,10,2,0.0,0.0,0.0
0_基准,800,10,3,0.0,0.0,0.0
inter_0.25,800,10,3,0.0,0.0,0.0
inter_0.5,800,10,3,0.0,0.0,0.0
inter_1.0,800,10,3,0.0,0.0,0.0
hete_0.15,800,10,3,0.0,0.0,0.0
hete_0.3,800,10,3,0.0,0.0,0.0
hete_0.5,800,10,3,0.0,0.0,0.0
noise_0.5,800,10,3,0.0,0.0,0.0
noise_1.0,800,10,3,0.0,0.0,0.0
noise_2.0,800,10,3,0.0,0.0,0.0
rho_0.3,800,10,3,0.0,0.0,0.0
rho_0.5,800,10,3,0.0,0.0,0.0
rho_0.7,800,10,3,0.0,0.0,0.0
s1_0.5,800,10,3,0.0,0.0,0.0
s1_1.0,800,10,3,0.0,0.0,0.0
s1_2.0,800,10,3,0.0,0.0,0.0
0_基准,800,20,2,0.0,0.0,0.0
inter_0.25,800,20,2,0.0,0.0,0.0
inter_0.5,800,20,2,0.0,0.0,0.0
inter_1.0,800,20,2,0.0,0.0,0.0
hete_0.15,800,20,2,0.0,0.0,0.0
hete_0.3,800,20,2,0.0,0.0,0.0
hete_0.5,800,20,2,0.0,0.0,0.0
noise_0.5,800,20,2,0.0,0.0,0.0
noise_1.0,800,20,2,0.0,0.0,0.0
noise_2.0,800,20,2,0.0,0.0,0.0
rho_0.3,800,20,2,0.0,0.0,0.0
rho_0.5,800,20,2,0.0,0.0,0.0
rho_0.7,800,20,2,0.0,0.0,0.0
s1_0.5,800,20,2,0.0,0.0,0.0
s1_1.0,800,20,2,0.0,0.0,0.0
s1_2.0,800,20,2,0.0,0.0,0.0
0_基准,800,20,3,0.0,0.0,0.0
inter_0.25,800,20,3,0.0,0.0,0.0
inter_0.5,800,20,3,0.0,0.0,0.0
inter_1.0,800,20,3,0.0,0.0,0.0
hete_0.15,800,20,3,0.0,0.0,0.0
hete_0.3,800,20,3,0.0,0.0,0.0
hete_0.5,800,20,3,0.0,0.0,0.0
noise_0.5,800,20,3,0.0,0.0,0.0
noise_1.0,800,20,3,0.0,0.0,0.0
noise_2.0,800,20,3,0.0,0.0,0.0
rho_0.3,800,20,3,0.0,0.0,0.0
rho_0.5,800,20,3,0.0,0.0,0.0
rho_0.7,800,20,3,0.0,0.0,0.0
s1_0.5,800,20,3,0.0,0.0,0.0
s1_1.0,800,20,3,0.0,0.0,0.0
s1_2.0,800,20,3,0.0,0.0,0.0
0_基准,800,30,2,0.0,0.0,0.0
inter_0.25,800,30,2,0.0,0.0,0.0
inter_0.5,800,30,2,0.0,0.0,0.0
inter_1.0,800,30,2,0.0,0.0,0.0
hete_0.15,800,30,2,0.0,0.0,0.0
hete_0.3,800,30,2,0.0,0.0,0.0
hete_0.5,800,30,2,0.0,0.0,0.0
noise_0.5,800,30,2,0.0,0.0,0.0
noise_1.0,800,30,2,0.0,0.0,0.0
noise_2.0,800,30,2,0.0,0.0,0.0
rho_0.3,800,30,2,0.0,0.0,0.0
rho_0.5,800,30,2,0.0,0.0,0.0
rho_0.7,800,30,2,0.0,0.0,0.0
s1_0.5,800,30,2,0.0,0.0,0.0
s1_1.0,800,30,2,0.0,0.0,0.0
s1_2.0,800,30,2,0.0,0.0,0.0
0_基准,800,30,3,0.0,0.0,0.0
inter_0.25,800,30,3,0.0,0.0,0.0
inter_0.5,800,30,3,0.0,0.0,0.0
inter_1.0,800,30,3,0.0,0.0,0.0
hete_0.15,800,30,3,0.0,0.0,0.0
hete_0.3,800,30,3,0.0,0.0,0.0
hete_0.5,800,30,3,0.0,0.0,0.0
noise_0.5,800,30,3,0.0,0.0,0.0
noise_1.0,800,30,3,0.0,0.0,0.0
noise_2.0,800,30,3,0.0,0.0,0.0
rho_0.3,800,30,3,0.0,0.0,0.0
rho_0.5,800,30,3,0.0,0.0,0.0
rho_0.7,800,30,3,0.0,0.0,0.0
s1_0.5,800,30,3,0.0,0.0,0.0
s1_1.0,800,30,3,0.0,0.0,0.0
s1_2.0,800,30,3,0.0,0.0,0.0
