config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
noise_1.0,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0115505486452919,0.1217073447631093,0.0146792625952791,0.89,0.11,0.988449451354708,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,30,2,100,0.0,0.0,0,0.3,0.0,2.0,-0.0171449765834355,0.2322930056770795,0.0536660902644451,0.9,0.1,0.9828550234165644,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0045144299252284,0.1130228245861324,0.0127537787998778,0.93,0.07,0.9954855700747716,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0066273756633207,0.1190295495479611,0.0141241115574077,0.91,0.09,0.9933726243366792,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0105322362362444,0.1217294196482824,0.0147071236077715,0.89,0.11,0.9894677637637556,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,0.000509586171483,0.213819654305421,0.0457185848892236,0.9,0.1,1.000509586171483,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0136789617932877,0.1213994191423735,0.0145507049723634,0.89,0.11,0.9863210382067122,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,30,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0095583907356388,0.0667258272981708,0.0043609731951701,0.88,0.12,0.9904416092643612,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0084635976408837,0.1115728200862859,0.0123768616969799,0.91,0.09,0.9915364023591162,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,30,3,100,0.0,0.25,0,0.3,0.0,1.0,-0.0071618272962108,0.1120241446763174,0.0124981172202397,0.91,0.09,0.9928381727037892,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,30,3,100,0.0,0.5,0,0.3,0.0,1.0,-0.0059283564029898,0.11041685767385,0.0121567370489263,0.92,0.08,0.9940716435970102,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,30,3,100,0.0,1.0,0,0.3,0.0,1.0,-0.0033847348217037,0.1088829363431708,0.0118440373968977,0.93,0.07,0.9966152651782962,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,100,30,3,100,0.0,0.0,0,0.3,0.15,1.0,-0.0023216193937407,0.109174379583748,0.0119136552408869,0.93,0.07,0.9976783806062592,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,100,30,3,100,0.0,0.0,0,0.3,0.3,1.0,-0.0017539807680122,0.1090746792336728,0.011894209201394,0.93,0.07,0.9982460192319876,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,100,30,3,100,0.0,0.0,0,0.3,0.5,1.0,-0.0017263196354444,0.1090444583984599,0.0118877137279297,0.93,0.07,0.9982736803645555,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,100,30,3,100,0.0,0.0,0,0.3,0.0,0.5,-0.002560282167774,0.1097950183411311,0.0120483910077507,0.93,0.07,0.997439717832226,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0019416404854338,0.1093183316440401,0.0119467276656616,0.93,0.07,0.998058359514566,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,100,30,3,100,0.0,0.0,0,0.3,0.0,2.0,-0.0013230826097349,0.1091982127278404,0.0119224991153625,0.93,0.07,0.9986769173902652,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-7.412582000521084e-05,0.1090914224110047,0.011900932949019,0.93,0.07,0.9999258741799948,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.001720013544637,0.1104587860479754,0.0121981849685986,0.93,0.07,0.998279986455363,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0028858955284217,0.1092991134174745,0.011937967800845,0.93,0.07,0.9971141044715782,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0071993967152619,0.1083379979465794,0.0116852904860093,0.92,0.08,0.992800603284738,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0051326979326553,0.1069377042510319,0.0114093280024132,0.93,0.07,0.9948673020673446,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,30,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0033056202241422,0.1092826674548954,0.011931774280991,0.92,0.08,0.9966943797758576,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0224990780568145,0.0733611213220337,0.0048756456082195,0.94,0.06,0.9775009219431856,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,200,10,2,100,0.0,0.25,0,0.3,0.0,1.0,-0.0210650405314604,0.0829716788295875,0.0064405635552081,0.93,0.07,0.9789349594685396,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,200,10,2,100,0.0,0.5,0,0.3,0.0,1.0,-0.0221276396359063,0.1042089740060473,0.0103698778275365,0.95,0.05,0.9778723603640936,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,200,10,2,100,0.0,1.0,0,0.3,0.0,1.0,-0.0173830898652563,0.1578330224029727,0.0246090911475937,0.91,0.09,0.9826169101347436,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,200,10,2,100,0.0,0.0,0,0.3,0.15,1.0,-0.0224779366017746,0.0813969523756866,0.0061202062221763,0.96,0.04,0.9775220633982252,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,10,2,100,0.0,0.0,0,0.3,0.3,1.0,-0.0252474405336016,0.0919381316173987,0.0078151867918003,0.92,0.08,0.9747525594663984,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,200,10,2,100,0.0,0.0,0,0.3,0.5,1.0,-0.0291660808835046,0.1104590313188781,0.0113505373258017,0.94,0.06,0.9708339191164952,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,200,10,2,100,0.0,0.0,0,0.3,0.0,0.5,-0.009840379404347,0.0409754558024403,0.0015821549113962,0.95,0.05,0.990159620595653,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0245375532764063,0.0767398958981009,0.0052869201016588,0.94,0.06,0.9754624467235936,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,200,10,2,100,0.0,0.0,0,0.3,0.0,2.0,-0.0466054080417416,0.1485576590794063,0.0198973140124158,0.94,0.06,0.9533945919582584,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0223773480593517,0.0781145612592648,0.005601138974558,0.94,0.06,0.9776226519406482,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0231670116894541,0.0785400761299266,0.0056318331278753,0.94,0.06,0.976832988310546,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0240662733198671,0.0786605578474653,0.0056082978493678,0.94,0.06,0.9759337266801328,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0463932114516362,0.1534013681986027,0.021379649696407,0.92,0.08,0.9536067885483638,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0244318214677902,0.0789106866946541,0.0056299825743878,0.94,0.06,0.9755681785322098,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,200,10,2,100,0.0,0.0,0,0.3,0.0,1.0,-0.0119693172017675,0.0415262842645694,0.0015811677305453,0.95,0.05,0.9880306827982324,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0193627996114448,0.0817977379404574,0.0063159519233827,0.92,0.08,0.9806372003885552,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,200,10,3,100,0.0,0.25,0,0.3,0.0,1.0,-0.0179181337393511,0.0807433339196603,0.0061984264557605,0.92,0.08,0.9820818662606488,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,200,10,3,100,0.0,0.5,0,0.3,0.0,1.0,-0.0179055236344701,0.0807211888709433,0.0061953025561139,0.92,0.08,0.9820944763655298,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,200,10,3,100,0.0,1.0,0,0.3,0.0,1.0,-0.0170540289928616,0.0801481440419827,0.006132885088485,0.92,0.08,0.9829459710071384,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.15,200,10,3,100,0.0,0.0,0,0.3,0.15,1.0,-0.0181505446944033,0.0799678816630057,0.0060654198249649,0.92,0.08,0.9818494553055966,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.3,200,10,3,100,0.0,0.0,0,0.3,0.3,1.0,-0.0192468514193135,0.0801309589554377,0.0060505292935609,0.92,0.08,0.9807531485806864,0.7,1.0,1.0,0.25,1.0,0.25
hete_0.5,200,10,3,100,0.0,0.0,0,0.3,0.5,1.0,-0.0201037832175938,0.0799393779322067,0.0059861420445281,0.92,0.08,0.979896216782406,0.7,1.0,1.0,0.25,1.0,0.25
noise_0.5,200,10,3,100,0.0,0.0,0,0.3,0.0,0.5,-0.0201329805905365,0.0799302281757921,0.0059835044687752,0.92,0.08,0.9798670194094634,0.7,1.0,1.0,0.25,1.0,0.25
noise_1.0,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0206979132635999,0.0792505205149767,0.0058522413884272,0.92,0.08,0.9793020867364,0.7,1.0,1.0,0.25,1.0,0.25
noise_2.0,200,10,3,100,0.0,0.0,0,0.3,0.0,2.0,-0.0208169495648745,0.0792898324803432,0.0058535321455743,0.92,0.08,0.9791830504351254,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.021177080075999,0.079625417544534,0.0058917383985961,0.92,0.08,0.978822919924001,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0215239740564358,0.0794857450935568,0.0058547022138957,0.92,0.08,0.9784760259435642,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0233889156879096,0.081145700698416,0.0060375833647807,0.91,0.09,0.9766110843120904,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0213824600792392,0.0781280780757855,0.0056467869847757,0.92,0.08,0.9786175399207608,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0222336967897845,0.0777007689985984,0.0055430722300334,0.92,0.08,0.9777663032102154,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,200,10,3,100,0.0,0.0,0,0.3,0.0,1.0,-0.0200772473129079,0.0774692096307252,0.0055983825811455,0.92,0.08,0.979922752687092,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,200,20,2,100,0.0,0.0,0,0.3,0.0,1.0,0.0015603260988723,0.0794482060459203,0.0063095828263801,0.94,0.06,1.0015603260988724,0.7,1.0,1.0,0.25,1.0,0.25
