config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate,rho,s1,a0,a1,b0,b1
noise_2.0,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,2.0,-0.0186398932937827,0.2182950799640661,0.0473052963145144,0.9,1.0,0.9813601067062172,0.7,1.0,1.0,0.25,1.0,0.25
rho_0.3,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0175147317513103,0.1120900834914987,0.0122574209888108,0.89,1.0,0.9824852682486896,0.3,1.0,1.0,0.25,1.0,0.25
rho_0.5,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0156748409824513,0.1144664771483878,0.0128568737509372,0.91,1.0,0.9843251590175488,0.5,1.0,1.0,0.25,1.0,0.25
rho_0.7,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0156655490062215,0.1146389799147964,0.0128966862902387,0.91,1.0,0.9843344509937784,0.7,1.0,1.0,0.25,1.0,0.25
s1_0.5,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0361773698724996,0.2198159192946092,0.0470102362844425,0.93,1.0,0.9638226301275004,0.7,0.5,1.0,0.25,1.0,0.25
s1_1.0,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0186266972689326,0.116126223233173,0.0131383458712522,0.91,1.0,0.9813733027310674,0.7,1.0,1.0,0.25,1.0,0.25
s1_2.0,100,5,2,100,0.0,0.0,0,0.3,0.0,1.0,1.0,-0.0061972221843484,0.0587118713764743,0.0034086782777254,0.93,1.0,0.9938027778156516,0.7,2.0,1.0,0.25,1.0,0.25
0_基准,100,5,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.0012685436195021,0.1120334571152243,0.0125498863102742,0.87,1.0,1.001268543619502,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.25,100,5,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,-0.0005170087126891,0.1138203290670789,0.0129548000109291,0.86,1.0,0.9994829912873108,0.7,1.0,1.0,0.25,1.0,0.25
inter_0.5,100,5,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0,-0.0010576240391325,0.1135321121951452,0.0128884219308829,0.86,1.0,0.9989423759608674,0.7,1.0,1.0,0.25,1.0,0.25
inter_1.0,100,5,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0,-0.0022773876899649,0.113715071236817,0.0129259309317039,0.86,1.0,0.997722612310035,0.7,1.0,1.0,0.25,1.0,0.25
