config_name,n_samples,d_dim,dgp_num,n,W,p_shapiro,A2,reject_shapiro,reject_ad,reject_both
s1_1.0,100,20,2,100,0.9916060054268716,0.792005089601763,0.18721897407883148,False,False,False
s1_2.0,100,20,2,100,0.9939547931983822,0.938412245509218,0.19826184185743045,False,False,False
0_基准,100,20,3,100,0.9824941649523987,0.2069227946908459,0.5976108028868339,False,False,False
inter_0.25,100,20,3,100,0.9818126186931804,0.18356217972401312,0.6359126157927335,False,False,False
inter_0.5,100,20,3,100,0.9821677580076217,0.1954111759902995,0.6127035189942944,False,False,False
inter_1.0,100,20,3,100,0.9820032367604956,0.18983622772569847,0.6202063579237915,False,False,False
hete_0.15,100,20,3,100,0.9814685638612147,0.1727263063316214,0.6549310941897772,False,False,False
hete_0.3,100,20,3,100,0.9824498199175542,0.20532299866061798,0.6022408019340162,False,False,False
hete_0.5,100,20,3,100,0.9835943409752469,0.25042433535948083,0.5394257003017771,False,False,False
noise_0.5,100,20,3,100,0.9835517253855409,0.24859743464631734,0.5404942947183002,False,False,False
noise_1.0,100,20,3,100,0.9845066505803267,0.2924539959609985,0.49646959629806986,False,False,False
noise_2.0,100,20,3,100,0.9862861012544272,0.39143301331506297,0.4168495195321924,False,False,False
rho_0.3,100,20,3,100,0.9867238052322097,0.4193220579099587,0.38807737390568775,False,False,False
rho_0.5,100,20,3,100,0.9854055124869872,0.3395672820116651,0.4651015510260379,False,False,False
rho_0.7,100,20,3,100,0.9841049362868811,0.2732493181038606,0.5132888840139032,False,False,False
s1_0.5,100,20,3,100,0.9854544238083865,0.34229880360797027,0.447486855720058,False,False,False
s1_1.0,100,20,3,100,0.9857829967818584,0.3611032461628869,0.4380680868864033,False,False,False
s1_2.0,100,20,3,100,0.9863950605020126,0.39824578086895357,0.42947157347425957,False,False,False
0_基准,100,30,2,100,0.9946804750542005,0.9660198494950141,0.17317585842810956,False,False,False
inter_0.25,100,30,2,100,0.9897771090605539,0.6465892509415017,0.4099709931494431,False,False,False
inter_0.5,100,30,2,100,0.9942853669333583,0.9521763721102121,0.13404855383946312,False,False,False
inter_1.0,100,30,2,100,0.9889738336951479,0.5825130438963666,0.2006007277394275,False,False,False
hete_0.15,100,30,2,100,0.9943623452749852,0.9550965968913184,0.18226603778202843,False,False,False
hete_0.3,100,30,2,100,0.9894530197655458,0.6205374174508866,0.38050341552879274,False,False,False
hete_0.5,100,30,2,100,0.9935235861808589,0.9175428891280009,0.11199994890998255,False,False,False
noise_0.5,100,30,2,100,0.9909638147167544,0.7421081645635974,0.20256732629415808,False,False,False
noise_1.0,100,30,2,100,0.9924815715616383,0.854920458647224,0.20341627964110387,False,False,False
noise_2.0,100,30,2,100,0.9920272658015102,0.8231976348774895,0.2209423186748154,False,False,False
rho_0.3,100,30,2,100,0.9908132805027329,0.7301302335113165,0.40858817210471443,False,False,False
rho_0.5,100,30,2,100,0.9903184699935762,0.6903451046252949,0.3583292813899277,False,False,False
rho_0.7,100,30,2,100,0.9928444218880856,0.8784966182394198,0.19602181844479105,False,False,False
s1_0.5,100,30,2,100,0.9878311074073389,0.49583877812701405,0.18603038974711694,False,False,False
s1_1.0,100,30,2,100,0.9915463425789824,0.7874736841361462,0.22798586680407595,False,False,False
s1_2.0,100,30,2,100,0.9887742875177716,0.5669202100290348,0.416873036085434,False,False,False
0_基准,100,30,3,100,0.989372773274455,0.6141217115608851,0.5027310024905489,False,False,False
inter_0.25,100,30,3,100,0.9904833425087243,0.7036516091882352,0.4355695683805436,False,False,False
inter_0.5,100,30,3,100,0.9908666664395442,0.7343871103370059,0.43442057809116363,False,False,False
inter_1.0,100,30,3,100,0.9909963381878155,0.7446850872443417,0.4288106617581775,False,False,False
